
3-D Laplacian Eigenproblem

 Grid partitioning: 1 1 1
 Number of iterations of the method: 6
 Solution method: krylovschur

 Number of requested eigenvalues: 8
 Stopping condition: tol=1e-08, maxit=100
 Number of converged approximate eigenpairs: 13

           k          ||Ax-kx||/||kx||   Eigenvalue Error 
   ----------------- ------------------ ------------------
       0.243042        3.34915e-14         4.16334e-16
       0.479521        5.58182e-13         4.21885e-15
       0.479521        1.74895e-10         1.11022e-15
       0.479521        3.70078e-12         1.88738e-15
          0.716          1.699e-14          1.9984e-15
          0.716        7.07904e-09         2.88658e-15
          0.716        1.06562e-11         3.66374e-15
       0.852307        1.37067e-10         2.10942e-15
       0.852307        9.35032e-15         1.55431e-15
       0.852307        1.34629e-12         3.21965e-15
       0.952479         9.9195e-15         1.55431e-15
        1.08879        8.90745e-13         2.44249e-15
        1.08879        1.18168e-09         6.66134e-16

